,Celltype
BC03LN_89,5
BC03LN_91,0
BC03LN_93,6
BC03LN_95,3
BC08_01,8
BC08_04,2
BC08_06,2
BC08_08,2
BC08_10,8
BC08_22,2
BC08_24,4
BC08_27,2
BC08_31,2
BC08_33,2
BC08_36,2
BC08_48,5
BC08_51,2
BC08_54,2
BC08_56,4
BC08_59,4
BC08_70,2
BC08_73,2
BC08_83,6
BC08_88,2
BC08_94,4
BC08_95,4
BC09_05,8
BC09_13,4
BC09_19,0
BC09_21,6
BC09_25,8
BC09_29,8
BC09_31,6
BC09_33,8
BC09_34,8
BC09_37,8
BC09_42,8
BC09_44,4
BC09_45,8
BC09_46,8
BC09_48,8
BC09_49,0
BC09_50,4
BC09_53,0
BC09_57,0
BC09_64,6
BC09_65,8
BC09_70,2
BC09_83,8
BC09_86,6
BC09_92,8
BC09_93,0
BC09_Re_01,4
BC09_Re_03,6
BC09_Re_05,4
BC09_Re_06,6
BC09_Re_07,6
BC09_Re_13,4
BC09_Re_14,0
BC09_Re_15,6
BC09_Re_21,0
BC09_Re_32,6
BC09_Re_37,6
BC09_Re_39,0
BC09_Re_41,0
BC09_Re_43,6
BC09_Re_44,6
BC09_Re_46,8
BC09_Re_54,6
BC09_Re_57,6
BC09_Re_59,6
BC09_Re_60,6
BC09_Re_61,0
BC09_Re_62,0
BC09_Re_66,6
BC09_Re_74,6
BC09_Re_80,6
BC09_Re_83,6
BC09_Re_88,6
BC09_Re_94,6
BC09_Re_95,6
BC10_07,8
BC10_09,2
BC10_16,4
BC10_20,2
BC10_43,8
BC10_47,4
BC10_54,7
BC10_58,4
BC10_67,6
BC10_69,2
BC10_73,4
BC10_80,2
BC10_81,2
BC10_85,2
BC10_95,2
BC02_02,7
BC02_08,7
BC02_09,7
BC02_10,7
BC02_11,7
BC02_12,7
BC02_13,7
BC02_14,7
BC02_15,7
BC02_18,7
BC02_19,2
BC02_22,2
BC02_24,2
BC02_25,7
BC02_26,7
BC02_28,7
BC02_31,7
BC02_34,2
BC02_44,7
BC02_47,2
BC02_50,7
BC02_51,7
BC02_53,7
BC02_54,7
BC02_55,7
BC02_58,7
BC02_59,2
BC02_60,7
BC02_61,2
BC02_62,7
BC02_63,7
BC02_64,7
BC02_66,7
BC02_67,7
BC02_68,7
BC02_70,2
BC02_71,7
BC02_73,7
BC02_74,7
BC02_75,7
BC02_76,2
BC02_79,7
BC02_81,7
BC02_82,7
BC02_83,7
BC02_86,7
BC02_88,7
BC02_89,7
BC02_90,7
BC02_93,7
BC02_94,2
BC02_95,2
BC02_96,7
BC05_01,1
BC05_02,1
BC05_04,1
BC05_07,1
BC05_08,1
BC05_09,1
BC05_12,1
BC05_13,1
BC05_16,1
BC05_17,1
BC05_18,1
BC05_20,1
BC05_21,1
BC05_22,1
BC05_23,1
BC05_25,1
BC05_26,1
BC05_27,1
BC05_28,1
BC05_29,1
BC05_30,1
BC05_31,1
BC05_32,1
BC05_33,1
BC05_34,1
BC05_35,1
BC05_36,1
BC05_37,1
BC05_38,1
BC05_39,1
BC05_41,1
BC05_42,1
BC05_43,1
BC05_44,1
BC05_45,1
BC05_46,1
BC05_47,1
BC05_48,1
BC05_49,1
BC05_50,1
BC05_52,1
BC05_53,1
BC05_55,1
BC05_57,1
BC05_59,1
BC05_60,1
BC05_61,1
BC05_62,1
BC05_63,1
BC05_64,1
BC05_68,1
BC05_69,1
BC05_70,1
BC05_71,1
BC05_72,1
BC05_73,1
BC05_74,8
BC05_75,1
BC05_77,1
BC05_78,1
BC05_79,1
BC05_80,1
BC05_81,1
BC05_83,1
BC05_84,1
BC05_85,1
BC05_86,1
BC05_87,1
BC05_88,1
BC05_90,1
BC05_91,1
BC05_92,1
BC05_93,1
BC05_94,1
BC05_95,1
BC05_96,1
BC11_01,4
BC11_04,4
BC11_07,4
BC11_28,4
BC11_43,4
BC11_56,4
BC11_69,4
BC11_70,4
BC11_78,4
BC11_81,4
BC11_88,4
BC06_04,6
BC06_08,2
BC06_10,4
BC06_21,6
BC06_23,5
BC06_25,0
BC06_26,6
BC06_27,4
BC06_28,5
BC06_29,6
BC06_32,5
BC06_39,4
BC06_40,3
BC06_43,7
BC06_58,6
BC06_60,5
BC06_61,6
BC06_74,5
