,label
621,3
622,2
623,3
624,4
625,2
626,3
627,2
628,3
629,2
630,4
631,3
632,3
633,2
634,3
635,3
636,3
637,4
639,1
640,3
641,3
642,3
643,5
644,4
645,2
646,3
647,4
648,2
650,3
651,2
652,3
653,2
654,2
655,3
656,1
657,2
658,3
659,4
660,3
661,2
662,5
663,2
664,2
665,2
666,3
667,4
668,2
669,3
670,2
671,2
672,2
673,2
674,2
675,3
676,5
677,2
678,3
679,2
680,2
681,2
682,3
683,3
684,2
685,2
686,4
687,2
688,1
689,3
690,5
691,3
692,5
693,3
694,3
695,4
696,2
697,2
698,2
699,2
700,3
701,2
702,2
703,3
704,3
705,3
706,2
707,2
708,2
709,2
710,3
711,3
712,3
713,3
714,2
715,5
716,2
717,4
718,2
719,3
720,3
721,2
722,2
723,2
724,3
725,2
726,2
727,4
728,2
729,2
730,2
731,5
732,3
733,3
734,2
735,2
736,2
737,3
738,3
739,2
740,3
741,4
742,4
743,3
744,3
745,2
746,3
747,2
748,2
749,3
750,2
751,2
752,3
753,3
754,3
755,2
756,2
757,2
758,3
759,5
760,3
761,3
762,3
763,2
764,2
765,3
766,2
767,1
768,1
769,3
770,2
771,2
772,2
773,4
774,3
775,3
776,3
777,4
778,3
779,5
780,2
782,2
783,3
784,3
785,3
786,4
787,2
788,3
789,3
790,3
791,3
792,2
793,4
794,2
795,2
796,3
797,3
798,3
799,2
800,2
801,2
802,4
803,2
804,4
805,3
806,2
807,3
808,2
809,3
810,3
811,2
812,2
813,1
814,3
815,2
816,3
817,2
818,4
819,4
820,2
821,3
822,4
823,2
824,3
825,3
826,2
827,3
828,3
829,5
830,3
831,4
832,3
833,5
834,3
835,3
836,2
837,1
838,2
839,1
840,2
841,4
842,3
843,3
844,2
845,3
846,4
847,2
848,3
849,3
850,2
851,4
852,2
853,4
854,2
855,2
856,2
857,3
858,2
859,2
860,2
861,2
862,2
863,3
864,4
865,2
866,5
867,2
868,3
869,2
870,4
871,2
872,5
873,3
874,2
875,2
876,2
877,2
878,3
879,3
880,2
881,2
882,2
883,2
884,2
885,3
886,2
887,3
888,3
889,2
890,2
891,4
892,2
