,label
570,6
571,2
572,6
573,3
574,6
575,1
576,1
577,6
578,6
579,0
580,1
581,6
582,6
583,6
584,6
585,1
586,2
587,1
589,0
590,5
591,5
592,5
593,4
594,2
595,5
596,1
597,1
598,0
599,3
600,0
601,6
602,2
603,6
604,0
605,5
606,6
607,1
608,0
609,3
610,1
611,1
612,4
613,6
614,2
615,3
616,5
617,6
618,5
619,0
620,5
621,6
622,2
623,4
624,2
625,2
626,3
627,2
628,6
629,4
630,1
631,2
632,6
633,1
634,2
635,5
636,4
638,3
639,1
640,3
641,1
642,3
643,4
644,6
645,5
646,4
647,6
649,2
650,6
651,2
652,0
653,6
654,1
655,3
656,6
657,1
658,4
659,2
660,0
661,3
662,6
663,0
664,3
665,1
666,4
667,6
668,1
669,0
670,0
671,6
672,6
673,6
674,5
675,3
676,0
677,1
678,6
679,0
680,6
681,5
682,5
683,0
684,0
685,4
686,6
687,4
688,1
689,3
690,1
691,3
692,5
693,5
694,4
695,6
696,6
697,6
698,6
699,1
700,0
701,0
702,5
703,1
704,2
705,2
706,6
707,0
708,0
709,5
710,2
711,1
712,2
713,6
714,3
715,6
716,4
717,0
718,1
719,1
720,6
721,0
722,3
723,5
724,6
725,0
726,4
727,6
728,0
729,6
730,3
731,1
732,1
733,0
734,0
735,0
736,2
737,5
738,0
739,5
740,4
741,4
742,1
743,2
744,0
745,2
746,6
747,6
748,2
749,0
750,0
751,1
752,2
753,2
754,0
755,0
756,6
757,1
758,3
759,3
760,5
761,5
762,0
763,6
764,3
765,6
766,3
767,3
768,5
769,0
770,0
771,4
772,4
773,5
774,2
775,5
776,4
777,5
778,3
779,6
781,0
782,2
783,2
784,5
785,3
786,6
787,2
788,5
789,3
790,1
791,0
792,4
793,0
794,6
795,2
796,1
797,5
798,6
799,0
800,0
801,4
802,6
803,4
804,5
805,6
806,2
807,6
808,5
809,1
810,0
811,6
812,3
813,2
814,4
815,1
816,6
817,4
818,4
819,6
820,2
821,4
822,0
823,2
824,5
825,6
826,2
827,5
828,3
829,1
830,4
831,1
832,3
833,5
834,5
835,3
836,3
837,0
838,3
839,0
840,4
841,1
842,1
843,6
844,1
845,4
846,0
847,2
848,2
849,0
850,4
851,6
852,4
853,3
854,4
855,3
856,5
857,0
858,6
859,0
860,0
861,0
862,1
863,4
864,6
865,3
866,0
867,1
868,0
869,4
870,0
871,3
872,3
873,6
874,0
875,0
876,0
877,5
878,3
879,6
880,6
881,2
882,6
883,0
884,5
885,6
886,5
887,3
888,0
889,6
890,4
891,0
