,0
821,4
822,2
823,0
824,1
825,3
826,1
827,1
828,1
829,1
830,4
831,1
832,3
833,1
834,1
835,2
836,2
837,2
838,2
839,2
840,4
841,1
842,1
843,2
844,1
845,4
846,2
847,0
848,0
849,2
850,4
851,2
852,4
853,2
854,2
855,2
856,1
857,2
858,2
859,2
860,2
861,2
862,1
863,4
864,2
865,1
866,2
867,1
868,2
869,4
870,2
871,3
872,1
873,2
874,2
875,2
876,2
877,1
878,1
879,2
880,2
881,2
882,2
883,2
884,1
885,2
886,1
887,1
888,2
889,2
890,4
891,2
